State,AK,AL,AR,AZ,CA,CO,CT,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
AK,0.0,0.797058513943422,0.9335522089940754,0.9319877074677958,0.7874805935908584,0.33882827850940817,0.7073638777486112,0.7568593316196841,0.8721710449612909,0.7991373762059765,0.7878089656227841,0.9276005944683215,0.9290288129831321,0.7363077504790677,0.8868157740101377,0.9040294786090444,0.8105100302737777,0.8002870444249481,0.6368393608952824,0.7337819703902907,0.7529864095751482,0.6502577929698325,0.6260518449636794,0.9080559081633541,0.8025899567849385,0.9231884554662126,0.808030207967859,0.9424165634414313,0.9384569189593962,0.7774184887981311,0.7278151825013074,0.7761910015372478,0.8138725979283303,0.7156058866356517,0.8787454799937747,0.9213190139390736,0.7782729185658358,0.7720578224868632,0.7342075757263051,0.865273661034677,0.9700157370943792,0.9083299509464335,0.8771454255027922,0.8632013249693958,0.7827301285418652,0.575481767522362,0.7082260772190959,0.892262975584068,0.8563497433225506,0.8909570300052168
AL,0.797058513943422,0.0,0.8472044181568937,0.742848584253404,0.611695320771851,0.13588679245283022,0.5044223916920333,0.6410629139799224,0.8720950161519423,0.8840343452846154,0.590306152094223,0.8694579194751004,0.7861544128804325,0.6945872414517757,0.9046871843777287,0.8622198110157193,0.6757991521836567,0.9782641319922685,0.43389787483870446,0.5443331473267163,0.5500449235185703,0.477991359324156,0.42311035890710136,0.889002605780068,0.9578018904918167,0.7480247471874125,0.7785838615311187,0.8546419505019907,0.7460732930972335,0.5744770027415532,0.5248736964447295,0.593928760763689,0.7554081382373141,0.6091339690268479,0.8183130339496474,0.8701839444487928,0.5753314325092578,0.7078099157752173,0.5312660896697273,0.9317848529087449,0.7755270812264805,0.8831730074414328,0.9007558557362273,0.8924064552214056,0.6573640248145548,0.37254028146578405,0.505284591162518,0.6912082819803202,0.9157276385453996,0.8783237061604275
AR,0.9335522089940754,0.8472044181568937,0.0,0.8793422793040576,0.7481890158225043,0.2723804875034836,0.6409160867426866,0.7443301834222544,0.8596418967638612,0.8088304502307689,0.7267998471448763,0.9487192450130302,0.9004258857088636,0.7237786022816379,0.9260182819971944,0.8915003304116146,0.8101335180938488,0.8578291750535142,0.5703915698893579,0.6808268423773697,0.6865386185692237,0.6144850543748095,0.5596040539577548,0.9258244538862597,0.8690377477908631,0.8789628866825102,0.7955010597704291,0.9600341657681105,0.8825669881478868,0.7109706977922066,0.6613673914953829,0.7304224558143423,0.8407396761459948,0.703076738438222,0.9040611955280012,0.945544582722776,0.7118251275599112,0.7595286742894334,0.6677597847203807,0.8789206134661782,0.912020776277134,0.935456987235377,0.8646162773053625,0.850672176771966,0.7702009803444354,0.5090339765164374,0.6417782862131715,0.8277019770309736,0.9227975343284751,0.9274425568601977
AZ,0.9319877074677958,0.742848584253404,0.8793422793040576,0.0,0.8527759049909872,0.39303820819942614,0.7615738074386292,0.8221546430198128,0.8374663563614199,0.8422104653838829,0.8474575678408189,0.8733906647783037,0.8637335015830032,0.8016030618791965,0.8326058443201199,0.858213678898062,0.7452147188736489,0.7460771147349302,0.6910492905853005,0.7990772817904196,0.8071963392651661,0.6849624815697036,0.6802617746536974,0.8538459784733362,0.7483800270949206,0.8551761629340083,0.8733255193679876,0.8882066337514135,0.8810024866216073,0.8316284184881491,0.7820251121913254,0.8331179123593415,0.8818848904605344,0.7809011980357806,0.8245355503037567,0.8726646398046113,0.8324828482558538,0.8373531338869918,0.7884175054163234,0.811063731344659,0.9269426479164729,0.8541200212564156,0.8368851813473656,0.8173855252584136,0.848025439941994,0.62969169721238,0.762436006909114,0.9316930310602495,0.8021398136325327,0.8367471003151989
CA,0.7874805935908584,0.611695320771851,0.7481890158225043,0.8527759049909872,0.0,0.5075248050143126,0.8927270709201822,0.9650768512363729,0.7396003046199086,0.7276609754872355,0.9718938501902965,0.7422374012967504,0.7165094065739904,0.9099382679993204,0.7014525808385667,0.7494755097561314,0.697990623864636,0.614923851253377,0.8222025540668536,0.9326378265548653,0.7368401687844552,0.537738386560691,0.766970593690806,0.7226927149917829,0.6172267636133675,0.7258388603778259,0.8108892370185101,0.7570533702698603,0.8490236746314621,0.7572261264141468,0.9131783756728784,0.9358938173503286,0.8562871825345367,0.9281252930447934,0.7933822868222034,0.741511376323058,0.9358583339596291,0.7845772288960047,0.8195707688978764,0.6799104678631059,0.8074963306852379,0.7229667577748624,0.7109394650356236,0.7146096202674264,0.8952495349510068,0.7608449606939331,0.882478159279556,0.8852991247304819,0.6709865501509795,0.7055938368336456
CO,0.33882827850940817,0.13588679245283022,0.2723804875034836,0.39303820819942614,0.5075248050143126,0.0,0.5592421785385746,0.4726016562506855,0.26379177630088785,0.25185244716821475,0.5011361959141627,0.2664288729777297,0.34417682401684213,0.44129955100105445,0.22564405251954595,0.27366698143711077,0.4566914138540792,0.1391153229343563,0.5829742425617147,0.5159393893609147,0.4191752022675933,0.6578954331286744,0.7127764335457287,0.24688418667276224,0.14141823529434672,0.38786204526541773,0.31841404203282253,0.2812448419508395,0.38981349935559684,0.550298678600166,0.5499019848969895,0.4919580316891412,0.38047865421551613,0.4711972678704267,0.3175737585031828,0.26570284800403743,0.5605553599435724,0.2947435433442795,0.4323984805608807,0.20410193954408523,0.3603597112263496,0.24715822945584182,0.2351309367166029,0.24348033723142454,0.44518943430494207,0.6909733453685974,0.6250466457347567,0.4446785104725101,0.19517802183195881,0.22978530851462486
CT,0.7073638777486112,0.5044223916920333,0.6409160867426866,0.7615738074386292,0.8927270709201822,0.5592421785385746,0.0,0.8633594777121109,0.632327375540091,0.620388046407418,0.9141162395978103,0.6349644722169329,0.7127124232560451,0.8098351502402574,0.594179651758749,0.6422025806763138,0.7048778087096527,0.5076509221735593,0.9294754831466712,0.9116364141766378,0.793727353629472,0.5446255714057077,0.7943106087245021,0.6154197859119652,0.5099538345335497,0.7327260452228426,0.7258385301609147,0.6497804411900425,0.7583490985947997,0.8002642546553899,0.9722279405303226,0.9104936309283442,0.7490142534547192,0.8952884226651853,0.6861093577423859,0.6342384472432404,0.9290909591827754,0.696612475916816,0.8731563020223059,0.5726375387832883,0.7288953104655527,0.6156938286950447,0.603666535955806,0.6120159364706277,0.8470583668774785,0.8681178897737508,0.925440815822686,0.813214109711713,0.563713621071162,0.598320907753828
DE,0.7568593316196841,0.6410629139799224,0.7443301834222544,0.8221546430198128,0.9650768512363729,0.4726016562506855,0.8633594777121109,0.0,0.7689678978279801,0.7570285686953071,0.9468281437746778,0.771604994504822,0.6858881446028162,0.9350039744149391,0.7308201740466381,0.7788431029642031,0.6673693618934616,0.6442914444614486,0.792834960858782,0.9032702333467938,0.7089820095386479,0.5071171245895166,0.7320474449271789,0.7520603081998546,0.6465943568214391,0.6952175984066515,0.8458123857821371,0.7842960176541438,0.8184024126602879,0.7223029776505199,0.8838107824648069,0.9108281109347098,0.8856547757426083,0.9587465550159676,0.818046765672031,0.7708789695311296,0.9009351851960021,0.815198490867179,0.7902031756898047,0.7092780610711774,0.7768750687140635,0.752334350982934,0.7403070582436951,0.7396753266830451,0.9163011108346324,0.7314773674858616,0.8475550105159289,0.8546778627593076,0.700354143359051,0.7349614300417172
FL,0.8721710449612909,0.8720950161519423,0.8596418967638612,0.8374663563614199,0.7396003046199086,0.26379177630088785,0.632327375540091,0.7689678978279801,0.0,0.8769663312446854,0.7182111359422807,0.910922651750831,0.8011998579444229,0.8058255586331668,0.905845836988889,0.9512359059748883,0.6826810752350686,0.8753235466334682,0.5618028586867623,0.6722381311747738,0.677949907366628,0.5224288379311235,0.5287931205329368,0.9338174428776015,0.8776264589934588,0.7981519532576923,0.9064888453791765,0.8996077309957506,0.823978276945291,0.7023819865896109,0.6527786802927872,0.6983620464985391,0.8189022206178665,0.7370389528749055,0.833358479013638,0.9140973140410851,0.69768086080176,0.835714899623275,0.659171073517785,0.9403101632431973,0.8921867820556703,0.8964071317507063,0.971339160415715,0.952141391119216,0.7852690086626124,0.5004452653138417,0.6331895750105757,0.7699895761009146,0.917054006041256,0.8821993399036634
GA,0.7991373762059765,0.8840343452846154,0.8088304502307689,0.8422104653838829,0.7276609754872355,0.25185244716821475,0.620388046407418,0.7570285686953071,0.8769663312446854,0.0,0.7062718068096075,0.8545556496621831,0.7559439669668863,0.8105528961671604,0.8605899460113523,0.878185465731104,0.6374251842575318,0.8872628757661415,0.549863529554089,0.6602988020421008,0.6660105782339548,0.5716173913980311,0.539076013622486,0.8830059963445092,0.889565788126132,0.7639904019027971,0.8945495162465031,0.8487962844626583,0.7606804572465803,0.6904426574569378,0.6408393511601141,0.6753283777432245,0.818090774084774,0.7250996237422325,0.7881025880361012,0.8355080897302152,0.6912970872246424,0.8237755704906018,0.647231744385112,0.9243542812090353,0.7691531133003557,0.8511512407731697,0.9053252840365176,0.9083721099367902,0.7733296795299393,0.4885059361811686,0.6212502458779027,0.7914003517900444,0.8717981150637192,0.8369434489261264
HI,0.7878089656227841,0.590306152094223,0.7267998471448763,0.8474575678408189,0.9718938501902965,0.5011361959141627,0.9141162395978103,0.9468281437746778,0.7182111359422807,0.7062718068096075,0.0,0.7208482326191225,0.7168377786059161,0.8818321181896169,0.6800634121609388,0.7273316240973715,0.6983189958965615,0.593534682575749,0.8435917227444815,0.9459730047675066,0.7597387714243473,0.5380667585926165,0.7605819845906562,0.7013035463141549,0.5958375949357395,0.7261672324097515,0.8117222905631043,0.7356642015922322,0.8442328589969895,0.750837517313997,0.9345675443505065,0.963999967160032,0.8348980138569089,0.9277969210128677,0.7719931181445756,0.7201222076454302,0.9294697248594792,0.7731377457529679,0.8409599375755044,0.6585212991854781,0.8078247027171633,0.7015775890972346,0.6895502963579956,0.686503470457723,0.88381005180797,0.7822341293715611,0.8760895501794062,0.8856274967624075,0.6495973814733516,0.6842046681560175
IA,0.9276005944683215,0.8694579194751004,0.9487192450130302,0.8733906647783037,0.7422374012967504,0.2664288729777297,0.6349644722169329,0.771604994504822,0.910922651750831,0.8545556496621831,0.7208482326191225,0.0,0.8889187156275542,0.7750593572686078,0.9592151795418162,0.9427810853985843,0.7717584234842375,0.8726864499566266,0.564439955363604,0.6748752278516159,0.6805870040434698,0.6029778842935001,0.5536524394320009,0.971549653317674,0.874989362316617,0.8674557166012009,0.8467818147573989,0.9796284754713347,0.8766153736221329,0.7050190832664527,0.655415776969629,0.7207727280810413,0.8635351244225911,0.7396760495517474,0.9210773366967692,0.9770517528040854,0.7058735130341574,0.8108094292764031,0.6618081701946269,0.9302013684531479,0.9060691617513801,0.980729356478112,0.9158970322923322,0.9019529317589359,0.7879061053394542,0.5030823619906837,0.6358266716874175,0.8217503625052197,0.928749148854229,0.9633564355368951
ID,0.9290288129831321,0.7861544128804325,0.9004258857088636,0.8637335015830032,0.7165094065739904,0.34417682401684213,0.7127124232560451,0.6858881446028162,0.8011998579444229,0.7559439669668863,0.7168377786059161,0.8889187156275542,0.0,0.6653365634621997,0.8814672285027038,0.8330582915921763,0.8592589950684234,0.7949384989175141,0.6421879064027164,0.6628107833734228,0.7583349550825822,0.6862813908881679,0.6314003904711133,0.8673824150668215,0.7972414112775045,0.9563147787514243,0.737059020950991,0.9015921269486724,0.8674857319425283,0.782767034305565,0.706735643060441,0.7422256521167436,0.7585240524208963,0.6446346996187838,0.8678413789307852,0.8659704684316396,0.7795944688407764,0.7010866354699952,0.739043459479049,0.8204785746467399,0.9090130758887527,0.9029814054389995,0.8061742384859243,0.792230137952528,0.7117589415249972,0.580830313029796,0.71357462272653,0.8312102818435085,0.83433453114845,0.8856084844977828
IL,0.7363077504790677,0.6945872414517757,0.7237786022816379,0.8016030618791965,0.9099382679993204,0.44129955100105445,0.8098351502402574,0.9350039744149391,0.8058255586331668,0.8105528961671604,0.8818321181896169,0.7750593572686078,0.6653365634621997,0.0,0.7699825425066658,0.8322782718700233,0.6468177807528451,0.697815771933302,0.7393106333869287,0.8497459058749404,0.6467784367837757,0.48656554344890013,0.72296756189977,0.7979541483953783,0.7001186842932922,0.674666017266035,0.854892268809546,0.7637444365135273,0.7978508315196714,0.6798897612897775,0.8302864549929536,0.8458320853496489,0.8830389261356432,0.914546727575072,0.7974951845314144,0.778234019558862,0.8746309835103122,0.8086943724366491,0.7318486595387061,0.7628023885430307,0.7396568209067803,0.7605438372684833,0.7938313857155485,0.8021807862303701,0.862776783362779,0.6779530400140084,0.8106973497107424,0.8341262816186913,0.7538784708309044,0.7463360454214399
IN,0.8868157740101377,0.9046871843777287,0.9260182819971944,0.8326058443201199,0.7014525808385667,0.22564405251954595,0.594179651758749,0.7308201740466381,0.905845836988889,0.8605899460113523,0.6800634121609388,0.9592151795418162,0.8814672285027038,0.7699825425066658,0.0,0.9377042706366423,0.7546130160239574,0.9134712704148102,0.5236551349054203,0.634090407393432,0.6398021835852861,0.5677486193908718,0.5128676189738172,0.9720283941112875,0.9157741827748007,0.8377820072541282,0.841704999995457,0.9443992105687065,0.8358305531639492,0.664234262808269,0.6146309565114452,0.6836860208304048,0.8352786058511997,0.6988912290935637,0.9080702940163632,0.9526959214966406,0.6650886925759736,0.7975671758419332,0.6210233497364431,0.9251245536912058,0.8652843412931963,0.9784858230637041,0.9108202175303903,0.8968761169969939,0.7471212848812705,0.4622975415324998,0.5950418512292338,0.7809655420470359,0.9528673026457462,0.9736365217826988
KS,0.9040294786090444,0.8622198110157193,0.8915003304116146,0.858213678898062,0.7494755097561314,0.27366698143711077,0.6422025806763138,0.7788431029642031,0.9512359059748883,0.878185465731104,0.7273316240973715,0.9427810853985843,0.8330582915921763,0.8322782718700233,0.9377042706366423,0.0,0.7145395088828219,0.8654483414972455,0.571678063822985,0.6821133363109968,0.6878251125028508,0.5542872715788769,0.560890547891382,0.9656758765253548,0.8677512538572358,0.8423877453960117,0.9003026161512675,0.931466164643504,0.8655725596496483,0.7122571917258338,0.66265388542901,0.6913315912574035,0.8340939875989531,0.7469141580111285,0.8652169126613912,0.9459557476888386,0.7131116214935384,0.8455901047594979,0.6690462786540079,0.9304349581069744,0.8851563268145348,0.9282655653984598,0.9559083997239365,0.9591718463603514,0.7951442137988353,0.5103204704500647,0.6430647801467986,0.801848009748668,0.9215110403948481,0.9140577735514166
KY,0.8105100302737777,0.6757991521836567,0.8101335180938488,0.7452147188736489,0.697990623864636,0.4566914138540792,0.7048778087096527,0.6673693618934616,0.6826810752350686,0.6374251842575318,0.6983189958965615,0.7717584234842375,0.8592589950684234,0.6468177807528451,0.7546130160239574,0.7145395088828219,0.0,0.6824239090802771,0.7113268538648683,0.6442920006640681,0.7111504550801807,0.6987959807254052,0.7439149803083503,0.748863632357467,0.6847268214402674,0.8721517634868101,0.6185402382416365,0.783073344239318,0.8489669492331737,0.7952816241428022,0.6882168603510864,0.728763473180974,0.7637788546172021,0.6261159169094292,0.832655929554764,0.7685837611939833,0.7610756861314218,0.5825678527606406,0.6205246767696946,0.7019597919373856,0.7904942931793982,0.7640517212621398,0.6876554557765698,0.6737113552431734,0.5932401588156427,0.6933449028670331,0.7794369928869668,0.8126914991341542,0.7384866079778796,0.7560372908869607
LA,0.8002870444249481,0.9782641319922685,0.8578291750535142,0.7460771147349302,0.614923851253377,0.1391153229343563,0.5076509221735593,0.6442914444614486,0.8753235466334682,0.8872628757661415,0.593534682575749,0.8726864499566266,0.7949384989175141,0.697815771933302,0.9134712704148102,0.8654483414972455,0.6824239090802771,0.0,0.4371264053202306,0.5475616778082423,0.5532734540000964,0.48121988980568214,0.4263388893886275,0.892231136261594,0.9795377584995483,0.7512532776689385,0.7818123920126449,0.8578704809835168,0.7493018235787595,0.5777055332230793,0.5281022269262555,0.5971572912452151,0.7586366687188402,0.6123624995083741,0.8215415644311735,0.8734124749303188,0.5785599629907839,0.7110384462567435,0.5344946201512535,0.9350133833902711,0.7787556117080067,0.8919570934785145,0.9039843862177533,0.8956349857029315,0.6605925552960807,0.3757688119473102,0.5085131216440442,0.6944368124618463,0.9263523954420201,0.8926633477530647
