State,Mandatory_Vaccination_Laws,Vaccination_Rates,Educational_Level,Political_Party_Affiliation,Reported_Number_of_Cases,Reported_Proportion
AK,0.5,0.72,0.3279,1.0,532,0.0007254
AL,0.5,0.64,0.2743,1.0,1474,0.00029338
AR,0.5,0.68,0.2527,1.0,1966,0.00065283
AZ,0.5,0.76,0.3243,0.5,5081,0.00071048
CA,0.0,0.85,0.3619,0.0,27236,0.00068885
CO,0.0,0.82,0.4442,0.0,11019,0.00190848
CT,0.0,0.95,0.4213,0.0,3038,0.0008425
DE,0.0,0.86,0.3562,0.0,602,0.00060811
FL,0.5,0.81,0.3316,1.0,9743,0.00045236
GA,0.5,0.67,0.3463,0.5,4021,0.00037538
HI,0.0,0.9,0.353,0.0,1045,0.00071808
IA,0.5,0.69,0.3054,1.0,1837,0.0005758
ID,0.5,0.63,0.3072,1.0,1523,0.00082812
IL,0.0,0.78,0.3714,0.0,6514,0.00050841
IN,0.5,0.63,0.2888,1.0,3581,0.00052774
KS,0.5,0.74,0.354,1.0,1494,0.00050853
KY,0.0,0.67,0.2698,1.0,4526,0.00100448
LA,0.5,0.62,0.2645,1.0,1523,0.00032698
MA,0.0,0.95,0.5062,0.0,6651,0.0009461
MD,0.0,0.9,0.4855,0.0,4353,0.00070724
ME,1.0,0.94,0.3599,0.5,1259,0.00092413
MI,0.5,0.68,0.3167,0.5,15025,0.00149097
MN,0.0,0.77,0.389,0.0,7012,0.00122878
MO,0.5,0.68,0.3172,1.0,3204,0.00051868
MS,0.5,0.61,0.2478,1.0,1059,0.00035762
MT,0.5,0.67,0.348,1.0,948,0.00087436
NC,0.5,0.89,0.3491,0.5,5135,0.00049189
ND,0.5,0.68,0.3174,1.0,476,0.00061097
NE,0.0,0.72,0.3445,1.0,1395,0.00071119
NH,0.5,0.84,0.4098,0.5,1401,0.00101704
NJ,0.0,0.93,0.431,0.0,7362,0.00079255
NM,0.0,0.91,0.3005,0.0,1597,0.00075418
NV,0.0,0.77,0.2757,0.5,1813,0.00058397
NY,0.0,0.92,0.409,0.0,12031,0.00059556
OH,0.0,0.64,0.3072,1.0,7250,0.00061444
OK,0.5,0.73,0.2792,1.0,2259,0.00057055
OR,0.0,0.8,0.3633,0.0,3486,0.0008227
PA,1.0,0.88,0.3654,0.5,7005,0.00053873
RI,1.0,0.95,0.365,0.0,908,0.00082743
SC,0.5,0.69,0.3153,1.0,2037,0.00039797
SD,0.5,0.81,0.3167,1.0,645,0.00072744
TN,0.5,0.63,0.3048,1.0,3935,0.0005694
TX,0.5,0.75,0.3312,1.0,12255,0.00042048
UT,0.5,0.74,0.3681,1.0,1351,0.00041295
VA,0.5,0.88,0.4181,0.0,5360,0.00062099
VT,0.0,0.95,0.4444,0.0,755,0.00117404
WA,0.0,0.83,0.4097,0.0,7256,0.00094169
WI,0.0,0.73,0.3254,0.5,4339,0.00073621
WV,0.5,0.66,0.2412,1.0,846,0.00047165
WY,0.5,0.59,0.2924,1.0,326,0.00056514
